name,race,gender,first_appearance,first_appearance_year,game_count,game_names,description_preview,auto_flag,flag_reason,keep_suggested,keep,tier
Nagi,Hylian,,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Nagi is a character in Spirit Tracks. ,TRUE,minimal_description,review,review,
Nah,Sand Seal,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nah is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Namali,Rito,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Namali is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Namika Ozz,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Namika Ozz is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nanna,Sheikah,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nanna is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Narah,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Narah is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nat,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nat is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Naydra,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Naydra is a Dragon in Breath of the Wild. ,TRUE,no_race; minimal_description,review,review,
Nazbi,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nazbi is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nebb,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nebb is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nekk,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nekk is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nell,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nell is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nellie,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nellie is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nikki,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nikki is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nobiro,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nobiro is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nobo,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Nobo is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nobodo,Anouki,,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Nobodo is a character in Phantom Hourglass. ,TRUE,minimal_description,review,review,
Noe Rajee,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Noe Rajee is a character in Breath of the Wild. They appear exclusively in The Champions' Ballad DLC Pack. ,FALSE,,review,review,
Noko,Anouki,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Noko is an Anouki in Spirit Tracks. He resides in Anouki Village in the Snow Realm. ,FALSE,,review,review,
Notts,Rito,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Notts is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Noya Neha,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Noya Neha is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Numar,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Numar is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Nyave,,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Nyave is a character in Phantom Hourglass. ,TRUE,no_race; minimal_description,review,review,
Nyeve,,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Nyeve is a character in Phantom Hourglass. ,TRUE,no_race; minimal_description,review,review,
Oaki,Korok,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Oaki is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Oakin,Korok,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Oakin is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Obli,Human,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Obli is a character from The Wind Waker. ,TRUE,minimal_description,review,review,
Ocara,,Female,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Ocara is a character in Phantom Hourglass. ,TRUE,no_race; minimal_description,review,review,
Octo,Octorok,Unknown,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,Octo is a character from A Link Between Worlds. ,TRUE,minimal_description,review,review,
Ojibe,,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Ojibe is a character in Phantom Hourglass. ,TRUE,no_race; minimal_description,review,review,
Old Gent,Human,Male,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,Old Gent is a character in Freshly-Picked Tingle's Rosy Rupeeland. ,FALSE,,review,review,
Old Lady from the Bomb Shop,Hylian,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"The Old Lady from the Bomb Shop, also known as the Old Lady from Bomb Shop, is a character in Majora's Mask. ",FALSE,,review,review,
Old Wayfarer,Human,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,The Old Wayfarer is a character in Phantom Hourglass. ,FALSE,,review,review,
Oliff,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Oliff is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Olivio,Korok,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Olivio is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Ollie,Sheikah,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ollie is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Olu,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Olu is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Onya,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Onya is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Owl,Owl,Male,The Legend of Zelda: Link's Awakening,1993,1,The Legend of Zelda: Link's Awakening,The Owl is a character in Link's Awakening. ,TRUE,minimal_description,review,review,
Ozunda,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ozunda is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Padda,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Padda is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Padok,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Padok is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Paige,Hylian,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Paige is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Palme,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Palme is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Papa,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,Papa is a character in A Link Between Worlds. ,TRUE,minimal_description,review,review,
Papahl,Human,Male,The Legend of Zelda: Link's Awakening,1993,1,The Legend of Zelda: Link's Awakening,Papahl is a character in Link's Awakening. ,TRUE,minimal_description,review,review,
Parot,Human,Male,The Legend of Zelda: Oracle of Seasons,2001,1,The Legend of Zelda: Oracle of Seasons,Parot is the guitarist in the group of performers that travels across Holodrum in Oracle of Seasons. ,FALSE,,review,review,
Pasha,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pasha is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pashli,Rito,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Pashli is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Patch,Human,Male,The Legend of Zelda: Oracle of Ages,2001,1,The Legend of Zelda: Oracle of Ages,Patch is a character in Oracle of Ages. ,TRUE,minimal_description,review,review,
Paya,Sheikah,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Paya is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pearle,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pearle is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Peeks,Korok,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Peeks is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pelison,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pelison is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pepp,Korok,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pepp is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Percy,,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Percy is a character in The Minish Cap. ,TRUE,no_race; minimal_description,review,review,
Pergie,Human,Female ,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Pergie is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Perosa,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Perosa is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Phanna,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Phanna is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Philosopher,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,The Philosopher is a character in A Link Between Worlds. He is the Lorulean counterpart of the Priest. ,FALSE,,review,review,
Phonogram Man,Hylian,,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,"The Phonogram Man is a character in Ocarina of Time. He teaches Link the ""Song of Storms"". ",FALSE,,review,review,
Photo Bro,Human,Male,The Legend of Zelda: Tri Force Heroes,2015,1,The Legend of Zelda: Tri Force Heroes,The Photo Bro is a character in Tri Force Heroes. He runs the Miiverse Gallery in Hytopia. ,FALSE,,review,review,
Photographer,Mouse,Male,The Legend of Zelda: Link's Awakening DX,1998,1,The Legend of Zelda: Link's Awakening DX,The Photographer is a character in Link's Awakening DX. ,FALSE,,review,review,
Piaffe,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Piaffe is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pirou,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pirou is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pitar,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pitar is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Ploka,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ploka is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pokki,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pokki is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pompie and Vera,Human,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Pompie and Vera are characters in The Wind Waker. ,FALSE,,review,review,
Pondo,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pondo is a character in Breath of the Wild.  ,TRUE,minimal_description,review,review,
Potato,,Female,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Potato is a character in Phantom Hourglass. ,TRUE,no_race; minimal_description,review,review,
Potova,Hylian,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Potova is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Powder Keg Seller,Goron,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,The Powder Keg Seller is a character in Majora's Mask. ,FALSE,,review,review,
Prima,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Prima is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Prince Ralis,Zora,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Prince Ralis is a character in Twilight Princess. ,FALSE,,review,review,
Princess Styla,Human,Female,The Legend of Zelda: Tri Force Heroes,2015,1,The Legend of Zelda: Tri Force Heroes,"Princess Styla  is the cursed daughter of King Tuft, sovereign of Hytopia in Tri Force Heroes. ",FALSE,,review,review,
Prissen,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Prissen is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Pritana,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pritana is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Professor,,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,The Professor is a character in Majora's Mask. ,TRUE,no_race; minimal_description,review,review,
Proxi,Fairy,Female,Hyrule Warriors,2014,1,Hyrule Warriors,Proxi is a Fairy in Hyrule Warriors. She accompanies Link and speaks on his behalf. ,FALSE,,review,review,
Pruce,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,"Pruce is a character in Breath of the Wild. He manages Hateno Village's general store, the East Wind. ",FALSE,,review,review,
Pumaag Nitae,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pumaag Nitae is a character in Breath of the Wild. ,FALSE,,review,review,
Purah,Sheikah,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Purah is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Purlo,Human,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Purlo is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Purry,,,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Purry is a character in The Minish Cap. ,TRUE,no_race; minimal_description,review,review,
Pyra,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Pyra is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Quadruplet Family,,,The Legend of Zelda: Link's Awakening,1993,1,The Legend of Zelda: Link's Awakening,The Quadruplet Family is a family in Link's Awakening. ,TRUE,no_race,review,review,
Quill,Rito,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Quill is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Quince,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Quince is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Qukah Nata,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Qukah Nata is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Racing Bros,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,The Racing Bros are a pair of characters in A Link Between Worlds. ,FALSE,,review,review,
Ralera,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ralera is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Ramella,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ramella is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Raqa Zunzo,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Raqa Zunzo is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Reagah,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Reagah is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Reede,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Reede is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Regan,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Regan is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rem,Hylian,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Rem is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Renado,Human,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Renado is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Rensa,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rensa is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Revali,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Revali is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rex,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rex is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rhodes,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rhodes is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rhondson,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rhondson is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Riju,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Makeela Riju is a character in Breath of the Wild. ,FALSE,,review,review,
Rik,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rik is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rima,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rima is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Ripp,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ripp is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Risa,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Risa is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Ritaag Zumo,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ritaag Zumo is a character in Breath of the Wild. ,FALSE,,review,review,
Rivan,Zora,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rivan is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
River Man,,Male,Zelda II: The Adventure of Link,1987,1,Zelda II: The Adventure of Link,The River Man is a character from The Adventure of Link. ,TRUE,no_race,review,review,
Robbie,Sheikah,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Robbie is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Robsten,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Robsten is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rogaro,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rogaro is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rohan,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rohan is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Romani,Hylian,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Romani is a character in Majora's Mask. ,TRUE,minimal_description,review,review,
Roscoe,Ancient Orb,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Roscoe is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rose,Hylian,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Rose is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Rown,Korok,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Rown is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Rudi,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Rudi is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Ruli,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ruli is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Rupee Rush Guy,,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,The Rupee Rush Guy is a character in A Link Between Worlds. ,TRUE,no_race,review,review,
Rusl,Human,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Rusl is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Russell,Hylian,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Russell is a character in Spirit Tracks. He is the captain of the Hyrule Castle guards. ,FALSE,,review,review,
Ruvo Korbah,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ruvo Korbah is a character in Breath of the Wild. They appear exclusively in The Champions' Ballad DLC Pack. ,FALSE,,review,review,
Saki,Rito,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Saki is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Sakon,,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Sakon is a character in Majora's Mask. ,TRUE,no_race; minimal_description,review,review,
Salvage Corp.,,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"The Salvage Corp., also known as Salvage Corp, is a group of young treasure hunters in The Wind Waker. ",TRUE,no_race,review,review,
Sam,,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Sam is a character in The Wind Waker. ,TRUE,no_race; minimal_description,review,review,
Sasa Kai,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Sasa Kai is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Satchel,Hylian,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Satchel is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Sato Koda,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Sato Koda is a character in Breath of the Wild. They appear exclusively in The Champions' Ballad DLC Pack. ,FALSE,,review,review,
Satty,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Satty is a character in Breath of the Wild. ,TRUE,no_race; minimal_description,review,review,
Saula,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Saula is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Savelle,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Savelle is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Sayge,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Sayge is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Scratcher,,,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Scratcher is a character in The Minish Cap. ,TRUE,no_race; minimal_description,review,review,
Sebasto,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Sebasto is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Sefaro,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Sefaro is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Seldon,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Seldon is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Senna,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Senna is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Sera,Human,Female,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Sera is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Servant of the Tower,,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Servants of the Tower are characters featured in The Wind Waker. ,TRUE,no_race,review,review,
Sesami,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Sesami is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Seven Heroines,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,The Seven Heroines are a group of characters in Breath of the Wild. ,TRUE,no_race,review,review,
Shabonne,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Shabonne is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Shad,Hylian,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Shad is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Shady Guy,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,The Shady Guy is a character in A Link Between Worlds. ,FALSE,,review,review,
Shae Katha,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Shae Katha is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Shai Yota,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Shai Yota is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
